n:139 mse_avg:161.19 mse_y:240.20 mse_u:3.60 mse_v:2.76 psnr_avg:26.06 psnr_y:24.33 psnr_u:42.57 psnr_v:43.73 
n:140 mse_avg:114.68 mse_y:170.43 mse_u:3.72 mse_v:2.66 psnr_avg:27.54 psnr_y:25.82 psnr_u:42.43 psnr_v:43.88 
n:141 mse_avg:92.92 mse_y:137.88 mse_u:3.54 mse_v:2.49 psnr_avg:28.45 psnr_y:26.74 psnr_u:42.63 psnr_v:44.17 
n:142 mse_avg:101.62 mse_y:150.98 mse_u:3.41 mse_v:2.37 psnr_avg:28.06 psnr_y:26.34 psnr_u:42.81 psnr_v:44.38 
n:143 mse_avg:124.74 mse_y:185.61 mse_u:3.48 mse_v:2.50 psnr_avg:27.17 psnr_y:25.44 psnr_u:42.71 psnr_v:44.15 
n:144 mse_avg:256.13 mse_y:382.11 mse_u:4.73 mse_v:3.57 psnr_avg:24.05 psnr_y:22.31 psnr_u:41.38 psnr_v:42.60 
n:145 mse_avg:247.85 mse_y:370.13 mse_u:3.82 mse_v:2.76 psnr_avg:24.19 psnr_y:22.45 psnr_u:42.31 psnr_v:43.72 
n:146 mse_avg:179.01 mse_y:267.12 mse_u:3.24 mse_v:2.34 psnr_avg:25.60 psnr_y:23.86 psnr_u:43.03 psnr_v:44.43 
n:147 mse_avg:259.13 mse_y:387.18 mse_u:3.43 mse_v:2.64 psnr_avg:24.00 psnr_y:22.25 psnr_u:42.78 psnr_v:43.92 
n:148 mse_avg:357.87 mse_y:535.14 mse_u:3.84 mse_v:2.84 psnr_avg:22.59 psnr_y:20.85 psnr_u:42.29 psnr_v:43.60 
n:149 mse_avg:149.40 mse_y:223.02 mse_u:2.62 mse_v:1.66 psnr_avg:26.39 psnr_y:24.65 psnr_u:43.94 psnr_v:45.92 
n:150 mse_avg:162.59 mse_y:242.79 mse_u:2.61 mse_v:1.78 psnr_avg:26.02 psnr_y:24.28 psnr_u:43.96 psnr_v:45.64 
